OID,time,cunlan,fabing,death,type,introduce,ENAME,AREA,PERIMETER,NAME,GB1999,POST_,疫情时,疫情类,发生次,牛Otime,类型,Long,Lat
28,20180906,886,62,22,养殖场,9月6日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，安徽省滁州市凤阳县一养殖场发生非洲猪瘟疫情，该养殖场存栏,fengyangxian,2011301100,235316.25,凤阳县,341126,233100,2018/9/6,非洲猪瘟疫情,1,20180906,养殖场,117.56124,32.866
31,20180906,52,15,15,养殖户,9月2日，安徽省宣城市宣州区古泉镇、五星乡发生非洲猪瘟疫情。古泉镇某养殖场存栏生猪285头，死亡40头。五星乡某养殖场存栏生猪440头，死亡94头。9月3日，安徽省宣城市宣州区金坝办事处某,xuanzhoushi,2531321300,258419.89,宣州市,342501,242000,2018/9/6,非洲猪瘟疫情,1,20180906,养殖户,118.76,30.946
33,20180906,30,13,1,养殖户,8月29日，安徽省畜牧兽医部门在开展非洲猪瘟疫情排查时，发现芜湖市南陵县某养殖场生猪不明原因死亡。8月30日，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊为非洲,nanlingxian,1343082600,209600.75,南陵县,340223,242400,2018/9/6,非洲猪瘟疫情,1,20180906,养殖户,118.33405,30.91465
30,20180903,97,12,9,养殖户,9月3日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，江苏省无锡市宜兴市某养殖户发生非洲猪瘟疫情，该养殖户存栏,yixingshi,1699919700,184485.56,宜兴市,320282,214200,2018/9/3,非洲猪瘟疫情,1,20180903,养殖户,119.82346,31.34042
85,20180903,308,152,83,养殖场,9月2日，安徽省宣城市宣州区古泉镇、五星乡发生非洲猪瘟疫情。古泉镇某养殖场存栏生猪285头，死亡40头。五星乡某养殖场存栏生猪440头，死亡94头。9月3日，安徽省宣城市宣州区金坝办事处某,xuanzhoushi,2531321300,258419.89,宣州市,342501,242000,2018/9/3,非洲猪瘟疫情,1,20180903,养殖场,118.739,30.956
87,20180829,30,13,1,养殖户,8月29日，安徽省畜牧兽医部门在开展非洲猪瘟疫情排查时，发现芜湖市南陵县某养殖场生猪不明原因死亡。8月30日，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊为非洲,nanlingxian,1343082600,209600.75,南陵县,340223,242400,2018/8/29,非洲猪瘟疫情,1,20180829,养殖户,118.3536,30.8724
49,20180817,430,430,340,养殖场,8月17日，浙江省温州市乐清市畜牧兽医局接到报告，某养殖小区3个养殖户的生猪出现不明原因死亡。截至目前，发病430头，死亡340头。8月22日，经中国动物卫生与流行病学中心（国家外来动物,leqingxian,1117256100,195239.48,乐清县,330382,325600,2018/8/17,非洲猪瘟疫情,1,20180817,养殖场,120.9908,28.1124
27,20180815,615,615,88,养殖场,8月15日起，江苏省连云港市海州区某养殖场的生猪出现不明原因死亡，截至目前，发病615头，死亡88头。8月19日，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，该起疫情,lianyungangshi,786588290,183011.95,连云港市,320701,222000,2018/8/15,非洲猪瘟疫情,1,20180815,养殖场,119.1773,34.84065
89,20180814,260,30,30,养殖场,　8月8日，河南省郑州市惠济区某屠宰场的猪出现疑似口蹄疫症状，发病猪5头。8月9日，河南省动物疫病预防控制中心诊断为口蹄疫病毒核酸阳性。8月14日，经国家口蹄疫参考实验室确诊，该起,zhengzhoushi,1020193400,134634.31,郑州市,410101,450000,2018/8/14,非洲猪瘟疫情,1,20180814,养殖场,118.3536,30.8724
84,20180606,203,26,10,养殖场,9月5日，农业农村部接到中国动物疫病预防控制中心报告，经中国动物卫生与流行病学中心（国家外来动物疫病研究中心）确诊，黑龙江省佳木斯市郊区长青乡某养殖户发生非洲猪瘟疫情，该养,jiamusishi,937718460,147913.03,佳木斯市,230801,154000,2018/9/6,非洲猪瘟疫情,1,20180606,养殖场,122.308,41.467
